video_id,video_title,thumbnail_path,transcript,publish_date
Er8hKhGeirU,Asesinato de rehenes de Hamás en Gaza aumenta presión sobre Netanyahu,youtube_output\Asesinato de rehenes de Hamás en Gaza aumenta presión sobre Netanyahu.jpg,"se celebraron los funerales de Los
Rehenes israelíes asesinados y
encontrados el domingo en la franja de
gaza la identificación de los seis
cuerpos reavivó el descontento con el
gobierno la mayoría de los israelíes
considera que Benjamin netan no hace lo
suficiente para garantizar un alto el
fuego que propicie la liberación de Los
Rehenes aún en manos de la organización
militante islamista Palestina jamás
considerada recordemos terrorista por
varios
países impera el
desconsuelo es el funeral de la joven de
24 años Edén yerus Sami fue reen de
jamás durante Casi 11 meses y su familia
aú aguardaba su
Liberación no imaginé que todo
terminaría así Edén mi amor deseaba
tanto que regresaras con vida quería
recuperar a mi Edén a mi alegre Edén que
tanto nos hacía reír muchos querían
conocerte pero no así
caja Ed Edén está entre los seis Rehenes
cuyos cuerpos fueron recuperados el
domingo en gaza el ejército israelí
asegura que combatientes de jamás les
dispararon poco antes de que sus
efectivos encontraran los
cuerpos la noticia desencadenó protestas
generalizadas contra el gobierno israelí
los manifestantes exigen que pacte con
jamás la liberación de los casi 100
Rehenes que aún podrían seguir con vida
para el lunes se convocó una huelga
general que sin embargo Fue
desautorizada más tarde por un tribunal
mientras a unos 100 km de tel avip en la
ciudad gazatí de han yunis palestinos
lloran la muerte de los suyos a causa de
un bombardeo
israelí y también aquí en Ciudad de gaza
un ataque israelí dejó varias
víctimas el ataque alcanzó un auto
municipal dejando muchos Mártires y
heridos fuer trasladados al hospital
mientras se apagaba el fuego del
víc según fuentes de jamás más de 40.000
palestinos han muerto en gaza desde el
inicio de la ofensiva lanzada por Israel
en respuesta a los atentados del 7 de
octubre muchos confían aún en que hayan
nuevos esfuerzos para detener los
combates pero por más esfuerzos los
combates prosiguen el ejército israelí
continúa por sexto día consecutivo con
ición militar en la cisjordania ocupada
también donde hasta ahora el campo de
refugiados de yenín en el norte de la
región ha sido el más afectado según
autoridades locales más del 70 por de
las calles Fueron dañadas por
excavadoras israelíes y el campamento
donde viven unas 14,000 personas se
quedó sin suministro de agua la
operación que empezó el miércoles ha
cobrado la vida de al menos 26
palestinos según el Ministerio palestino
de salud las fuerzas armadas israelíes
aseguran que atacaron una célula
terrorista en colaboración con el
servicio de inteligencia de su país por
su parte el servicio de emergencia de la
media luna roja Palestina denuncia que
las tropas israelíes no los dejan llegar
hasta los heridos para brindarles
atención
médica antes de este programa el
periodista experto en medio oriente
mikel ayestarán analizaba de esta forma
los frentes abiertos en gaza y en la sis
Jordania ocupada por el ejército israelí
Israel a jenin y tulkarem la estrategia
de castigo colectivo que emplea en gaza
y arrasa calles e infraestructura
pública y Privada tanto dentro como
fuera de los campos de refugiados de
estas ciudades del norte de cisjordania
a punto de cumplirse la primera semana
del inicio de la mayor operación militar
en cisjordania desde el final de la
segunda intifada ya son al menos 30 los
palestinos muertos entre ellos hay
varios dirigentes de jamas y yat
islámica como han reconocido los propios
grupos el objetivo del ejército es
acabar con la resistencia Armada
Palestina a la que acusa de actuar bajo
el dictado de Irán según adelantó el
ministro de exteriores israelí la
resistencia está presente sobre todo en
campos de refugi aunque son pocos
combatientes y están pobremente
pertrechados Campos como el de yenín por
ejemplo llevan días cercados sin agua ni
electricidad en las condiciones de vida
son muy duras para los civiles que han
quedado atrapados cisjordania es sin
duda ya un tercer frente abierto junto
al de la frontera norte donde persiste
un día más La amenaza de la milicia chi
hezbolá y gaza donde en las últimas 24
horas Israel ha matado al menos a 48
personas según Informa el Ministerio de
salud 11 de ellas han muerto en un nuevo
ataque contra una escuela Refugio de la
ONU los bombardeos no cesan en una fraja
en la que se vive la segunda jornada de
vacunación contra la polio Naciones
Unidas ha revelado los datos de la
primera jornada en la que 87,000 niños
recibieron la dosis la operación Busca
vacunar a más de 640,000 menores después
de que este virus se detectara en aguas
residuales de la franja las agencias de
Naciones Unidas llaman a jamás a Israel
a seguir respetando las pausas en los
combates en las zonas de vacunación para
proteger de esta forma a pacientes y
personal al médico",20240902
12rWgGwyYac,Cientos de miles de israelíes protestan contra Netanyahu tras hallazgo de rehenes asesinados,youtube_output\Cientos de miles de israelíes protestan contra Netanyahu tras hallazgo de rehenes asesinados.jpg,"en Israel crece la ira contra el
gobierno de Benjamin netanyahu después
de que el ejército recuperara seis
Rehenes muertos de un túnel subterráneo
en el sur de gaza que fueron capturados
en los atentados del 7 de octubre su
muerte fue anunciada Poco después de que
miles de personas protestará en tel aviv
exigiendo un acuerdo para liberar los
más de 100 reenes que todavía permanecen
secuestrados por la organización
militante islamista Palestina jamás
considerada recordemos terrorista por
varios países Durante este domingo se
han producido concentraciones en telaviv
y Jerusalén y Atos israelíes convocaron
una huelga general para este lunes con
el fin de presionar al ejecutivo para
que llegue a un acuerdo acusan al Primer
Ministro Benjamin Nano de socavar los
esfuerzos para conseguir la liberación
de sus seres
queridos al mismo tiempo la situación en
sis Jordania se agrava tres policías
israelíes murieron en un ataque a tiros
contra su vehículo presuntamente
perpetrado por varios palestinos además
las recientes redadas llevadas a cabo
por el ejército israelí han causado la
muerte de decenas de civiles palestinos
como la de un líder
militante la televisión israelí Lee uno
por uno los nombres de los seis reenes
muertos se esfuman así las últimas
esperanzas de sus familiares y
amigos Hace unas horas informamos a las
familias del ayco por parte del ejército
de sus seres queridos En un túnel
subterráneo de Rafa nuestra valoración
inalun
asesinos por terroristas de jamás poco
antes de
encontrarlos habían sido secuestrados el
7 de octubre por la organización
terrorista
jamás uno de los rehenes era el
ciudadano israelí estadounidense her
Goldberg polí de 23 años secuestrado por
militantes de jamás en un festival de
música en el sur de Israel Durante los
ataques del 7 de
octubre en declaraciones
su madre dijo que tenía esperanzas de
que fuera liberado
pronto rezo todo el tiempo porque sé que
hay civiles en gasa buenos y amables que
también están atrapados en esta horrible
situación en la que nos
encontramos y Quiero rezar y esperar que
haya alguien que sea amable con her y
con las otras personas inocentes que
también están retenidas allí en
condiciones Terribles
sus palabras son compartidas por muchos
en esta manifestación en tel aviv
celebrada apenas horas antes de que las
fuerzas de defensa de Israel anunciaran
el hallazgo de los seis cadáveres los
manifestantes llevan meses exigiendo un
acuerdo para liberar a todos los
reenes acusan al gobierno de priorizar
su sobrevivencia política por encima de
la vida de ciudadanos
Israel política y no han llegado a un
acuerdo con jamás de modo que nuestros
seres queridos están aún allí no vemos
soluciones ni sabemos cuándo
volverán en un discurso este domingo
netanyahu aseguró que este hecho muestra
que jamás no quiere
acuerdos a los terroristas de jamás que
asesinaron a nuestros Rehenes y a sus
líderes les digo tienen las manos
manchadas con su sangre No descansaremos
ni nos callaremos los perseguir hasta
encontrarlos
cuentas se espera que el anuncio sobre
las muertes de estos seis Rehenes incite
todavía más protestas la oposición ya
amenaza con paralizar la economía
israelí y antes de este programa le
preguntamos al periodista experto en
medio oriente mikel ayestarán sobre las
implicaciones políticas para el gobierno
de netan de este nuevo rescate de
cuerpos sin
vida la crisis de losen a las manos de
un Benjamín nanau cuya Apuesta por el
uso máximo de la fuerza no funciona para
traer a los cautivos con vida de vuelta
a casa el Primer Ministro no hace
autocrítica y culpa a jamás de bloquear
el acuerdo de alto el fuego Pese a que
ha sido él mismo quien ha puesto sobre
la mesa recientemente nuevas exigencias
como la permanencia de tropas y ríes en
el corredor de Philadelphia una
exigencia nunca planteada hasta ahora
que ha vuelto a estancar el diálogo
desde el 7 de octubre netan nunca ha
admitido responsabilidad alguna y ha
echado siempre la culpa a otros de los
errores en seguridad y estrategia la
muerte de estos últimos seis Rehenes en
un túnel de rafag acarrea la primera
huelga general en Israel desde el
estallido de la guerra además de
comercios e industrias escuelas
universidades e incluso el Aeropuerto
Internacional de tel aviv van a dejar de
operar para presionar al gobierno para
que acepte de una vez un acuerdo
inmediato de alto el fuego que abra la
puerta a un intercambio de Rehenes por
presos palestinos el ministro de defensa
y los responsables de los servicios de
inteligencia insisten en la necesidad de
pactar con jamás para facilitar el
regreso seguro de los reenes pero nanau
hasta ahora no ha cedido el Primer
Ministro Eso sí cuenta con el apoyo
firme de sus aliados ultranacionalistas
sionistas en el gabinete para quienes la
huelga general supone una victoria para
jamás el sector más radical del gobierno
no quiere acuerdos y exige mano dura
hasta el final Aunque el precio sea la
vida de los reenes netanyahu está una
vez más entre la espalda y la pared en
una situación límite en la que
normalmente el Primer Ministro de Israel
se suele desenvolver con soltura",20240901
DZvkwHXgoNE,"Israel acepta respetar tres días de ""pausas humanitarias"" en Gaza para vacunar contra la polio",youtube_output\Israel acepta respetar tres días de pausas humanitarias en Gaza para vacunar contra la polio.jpg,,20240830
Ra8PQrIXHe8,Israel confirma que mató a otros tres combatientes de Hamás en Cisjordania,youtube_output\Israel confirma que mató a otros tres combatientes de Hamás en Cisjordania.jpg,"el gobierno de Israel anunció este
viernes eh que mató a tres combatientes
de jamás en sis Jordania ocupada y uno
de ellos era un líder de la organización
islamista en el tercer día de la
operación militar en el territorio
ocupado han muerto 19 palestinos según
el canciller israelí cats citamos el
ejército Busca desmantelar las
infraestructuras irano islamistas una
operación que incluye bombardeos e
incursiones con vehículos blindados
sobre todo en yenín pero también aplusa
o tulkarem la ONU advierte de que la
operación paralela a esos bombardeos y
guerra en gasa alimenta una situación Ya
explosiva esto es lo que quedó de la
ciudad de tulkarm en la sis Jordania
ocupada los caminos dañados y casas
completamente
destruidas los palestinos intentan
salvar lo que puedan después de los
destructivos ataques
israelíes hicieron explotar los vidones
de gas y la tienda hicieron explotar
toda la casa y todos los muebles
llamamos a la defensa civil y a otras
personas para que apagaran el fuego
porque no queríamos que los vecinos y
los niños salieran heridos pedimos ayuda
pero la gente huyó de la zona y muchos
fueron
detenidos tras matar a un comandante de
la jihad islámica Israel afirma que el
objetivo es eliminar milicianos la
ciudad de yenín se ha convertido en el
centro de las operaciones israelíes la
policía israelí publicó estas imágenes
el viernes se ve como las tropas matan a
un presunto alto dirigente de jamás en
yenín en su
auto el ejército israelí afirma que
activistas de sis Jordania han llevado a
cabo unos 150 ataques en el último año
contra militares y civiles israelíes en
genen los palestinos dicen que tropas
israelíes rodean las rutas de acceso a
la
ciudad el mayor problema que tenemos son
los niños pequeños no hay leche
disponible ena tengo a una niña enferma
con 40 de fiebre no esperábamos algo así
y la ambulancia ni siquiera puede llegar
a donde
estamos los palestinos denuncian que las
víctimas de la operación israelí son
civiles los enfrentamientos comenzaron
aquí a un joven lo golpearon era un niño
qué culpa tiene él le dispararon en la
cabeza y su hermano está en estado
crítico en el hospital a pesar de no
haber hecho nada malo desde los
atentados terroristas del 7 de octubre
las intervenciones israelíes en
cisjordania han aumentado
considerablemente esta operación es la
más violenta y prolongada en lo que va
de este año en sis Jordania viven casi 3
millones de palestinos bajo la ocupación
israelí",20240830
f8D-dGIC3-I,Las fuerzas israelíes continúan con las redadas en varias ciudades de Cisjordania ocupada,youtube_output\Las fuerzas israelíes continúan con las redadas en varias ciudades de Cisjordania ocupada.jpg,"las fuerzas israelíes continúan con las
redadas en varias ciudades de sis
Jordania ocupada el ejército israelí
afirmó haber matado el jueves a cinco
combatientes entre ellos un comandante
del grupo jihad islámica Palestina el
secretario general de la ONU ha pedido
el cese inmediato de la operación que se
perfila como la mayor en sis Jordania
desde la invasión israelí en gaza hace
ya más de 10
meses en estas destrozadas calles de tul
kem Israel asegura tenido un gran éxito
en su mayor operación en sis Jordania
territorio palestino ocupado desde
1967 después de la muerte a tiros del
comandante de la brigada local de la yat
islámica Palestina Mohamed javer aquí en
imagen las fuerzas israelíes ya Habían
intentado eliminar sin éxito a javer
acusado de numerosos ataques contra
israelíes pero una vez más los civiles
palestinos sufren las consecuencias de
las incursiones israelíes
estábamos durmiendo los disparos nos
despertaron a eso de las 3:30 de la
madrugada desperté a mi esposa
diciéndole que ellos el ejército estaban
disparando a la casa apenas la desperté
dispararon un cohete a la casa corrimos
a la otra habitación y dispararon otro
cohete mi hijo y su esposa estaban en el
segundo piso y también les dispararon un
cohete esta familia salió ilesa pero las
fuerzas israelíes que recorren las
calles en bus de militantes han causado
graves problemas al sistema de salud en
las áreas
asaltadas el personal sanitario afirma
que las tropas están bloqueando el
acceso a las
ambulancias el ejército israelí se niega
del todo a permitir la entrada de
ambulancias ya sean coordinadas o no
Incluso si nos permitieran ingresar como
pueden ver las ambulancias no pueden
acceder a los campamentos ni siquiera
para socorrer casos humanitarios o a
personas con
enfermedades la ONU ha instado a Israel
a garantizar la atención médica a los
heridos y ha advertido de que la
operación en sis Jordania agrava una
situación Ya de por sí
explosiva y el ministro de asuntos
exteriores de Israel dijo refiriéndose
al ataque sobre sis Jordania que se
trata de una guerra en todos los
sentidos y tienen que ganarla ampliamos
esta información con el periodista en la
región Joan basés qué tal Joan bueno se
habla de la mayor ofensiva militar en
sis Jordania en dos décadas Cuál ha sido
el alcance de esta operación militar
israelí y sus
resultados Hola qué tal Sí así es las
tropas israelíes continúan por segundo
día consecutivo una operación a gran
escala en la cisjordania ocupada y como
indicaba habría sido capaz de eliminar
un destacado comandante de una milicia
en el campo de refugiados de tulkarem un
militante que Aparentemente había estado
implicado en ataques anteriores contra
civiles israelíes el ejército israelí
dice además haber sido capaz de eliminar
otros cinco supuestos militantes
palestinos hay constancia de redadas
israelíes en más de seis puntos al mismo
tiempo de forma simultánea como indicaba
es una operación a gran escala con
centenares de soldados implicados eh
Desde la madrugada del miércoles Ayer
cuando arrancó esta operación en sis
Jordania eh ha habido por lo menos hay
constancia eh de 17 palestinos muertos a
causa de estas operaciones israelíes en
la cisjordania ocupada como ocurre en
este tipo de operaciones las tropas
israelíes están bloqueando los accesos a
los campos de refugiados donde está
lanzando estas redadas también eh lanza
bloqueos contra los hospitales de la
zona como indicaba es ahora el bloqueo
de ambulanci algo que dificulta el
trabajo de los equipos médicos también
las familias los civiles se quedan
encerrados en sus casas mientras eh
duran estas redadas que a veces pueden
eh alargarse días e hay que decir que
este tipo de radas israelíes han sido
una constancia algo diario desde octubre
cuando arrancó la guerra en la franja de
gaza y que estas operaciones israelíes
en la cisjordania ocupada han causado
desde octubre más de 620 víctimas
mortales palestinas en cisjordania
Muchísimas gracias Joan cabacés Quédate
con nosotros que en minutos volvemos de
contigo",20240829
aJZOlbI-65A,Incursiones de Israel en Cisjordania amenazan con inflamar aún más el conflicto,youtube_output\Incursiones de Israel en Cisjordania amenazan con inflamar aún más el conflicto.jpg,"en la guerra entre Israel y jamás el
foco se corre ahora hacia sis Jordania
donde el ejército israelí continúa con
una incursión que había comenzado el día
anterior el jueves las fuerzas de Israel
mataron a un líder de jihad islámica
Palestina Mohamed jaer hubo más muertos
son 12 en total Desde el miércoles
algunas Fuentes citan más muertos
combatientes palestinos según Israel que
denomina la incursión a gran escala como
una operación antiterrorista el ejército
israelí realiza desde la semana pasada
redadas contra milicias palestinas en
tulkarem y en yenín y en el campamento
de refugiados de nur
shams bienvenidos hablamos con el
periodista Juan cabacés que está en
beirut que también estuvo en Israel
conoce bien la situación Juan cómo
Informa el ejército israelí sobre la
operación es una operación limitada en
el
tiempo bueno eh Hola Qué tal eh
autoridades israelíes han reconocido que
esta operación podría alargarse varios
días y de hecho eh existe el riesgo de
que esta operación se convierta en una
nueva realidad o incluso en uno en un
nuevo frente de guerra eh un indicio de
ello Es que Joseph borrey en las últimas
horas jefe de la diplomacia europea ya
ha alertado a Israel ha pedido a Israel
que no extienda la guerra que ya existe
en la franja de gaza hacia la
cisjordania ocupada pero lo cierto Es
que aunque esta operación en concreto
termine hoy mismo todo esto forma parte
de una dinámica a lo que no se le ve fin
al menos por ahora hay que decir que las
incursiones israelíes en campos de
refugiados palestinos o en municipios
palestinos dentro de la cisjordania
ocupada han sido algo diario desde el
pasado octubre del 2023 en el que
arrancó la guerra en la franja de gaza y
estas redadas provocan muertes y
detenciones Y por supuesto también dolor
en la población Palestina algo que lleva
a muchos jóvenes que no se ven con un
futuro digno bajo la ocupación israelí a
unirse a la lucha armada contra las
tropas israelíes con lo cual eh vemos
que es un ciclo que se perpetúa hay que
decir que hay más de 620 palestinos
muertos solo en desde octubre en la
cisjordania ocupada a raíz de estos
enfrentamientos con las tropas
israelíes Juan contanos ahora que gana
en importancia lo que ocurre en
cisjordania durante las últimas semanas
hubo varios episodios también de
agresiones de colonos allí colonos
judíos en ese
En clave además de gaza Cuáles son las
diferencias entre esos territorios entre
sis Jordania y gaza diferencias
estructurales en el
terreno sí cis Jordania es una es un
territorio con una situación distinta a
la de la franja de gaza gaza Está
rodeada de muros controlados por Israel
también está eh con un litoral marítimo
también controlado por Israel pero hasta
esta guerra hasta octubre del 23 no
había presencia israelí dentro de la
franja de de gaza algo muy distinto a lo
que ocurre en la cisjordania ocupada
donde las tropas israelíes están muy
presentes de hecho el ejército israelí
eh fractura el territorio con una gran
cantidad de Checkpoints y restringe los
movimientos de la ciudadanía eh
Palestina incluso les piden permisos
para eh las tareas más cotidianas
incluso para visitar el pueblo de al
lado eh Ya sea para ver a la familia o
para ir a trabajar incluso los grupos de
defensa de los Derechos Humanos hablan
de la burocracia de la ocupación este
sistema que permite controlar las vidas
y los movimientos de la eh población eh
Palestina pero es que además de toda
esta presencia militar está también la
presencia de los colonos israelíes como
ahora indicaba y son más de 600,000
colonos israelíes que viven en más de
280 colonias ilegales según la comunidad
internacional según el derecho
internacional una presencia que por
supuesto eh hace aumentar la tensión en
un en un territorio Ya de por sí eh
hostil
Juan y vos también lo mencionabas
anteriormente se piensa que esta
operación que que esté en curso puede
extenderse en el tiempo y hay peligro de
que se inflame la situación también
ahora en s Jordania más de lo que está
Cómo podemos imaginarnos una escalada
allí en sis
Jordania sí comoo comentábamos sis
Jordania es un territorio tenso a raíz
de estos Checkpoints a raíz de las
fricciones entre colonos israelíes y
residentes eh palestinos Pero
últimamente vemos como la violencia se
ha disparado a raíz sobre todo de dos
elementos Uno de ellos es la guerra en
la franja de gaza que muchos colonos
ultraderechistas y que se ven así mismos
con una misión mesiánica están
Aprovechando que el foco informativo
está sobre la franja de gaza para
aumentar sus ataques contra las
comunidades palestinas en muchos casos
beduinas y de pastores para eh ganar
territorio de hecho desde octubre hemos
visto como 20 de estas como unidades
especialmente en el Valle del Jordán en
la franja este de la c Jordania ocupada
han pasado a la extinción a causa de
estos ataques de los colonos israelíes
pero es que vemos además como el
gobierno ultraderechista de Israel eh
tiene a varios de sus ministros que son
ellos mismos colonos de la cisjordania
ocupada y que prestan un gran apoyo a
estos grupos eh violentos de colonos
incluso les han ofrecido armas y
uniformes de soldados que utilizan para
lanzar ataques contra estas comunidades
palestinas Aunque oficialmente
este armamento sea para defenderse de
los ataques palestinos como con lo cual
vemos que hay una situación muy tensa se
puede decir que cis Jordania es un
polvorín y cualquier cosa puede hacer
estallar una guerra abierta en el
territorio Y en este contexto justo
justamente hablábamos de tensión el
ministro de exteriores israelí y No
justamente para bajar tensiones llamó
incluso a evacuar temporalmente a la
población Palestina de s Jordania hoy en
Bruselas el jefe de la diplomacia
europea JP boril en otro contexto de una
reunión de exteriores se refirió a esas
declaraciones es muy preocupante el
llamado del ministro de exteriores
israelí de desplazar a personas de s
Jordania haciendo algo similar a lo que
hicieron en
gaza eso es completamente inaceptable
para pedir a los Estados miembros si lo
consideran apropiado de incluir en
nuestra lista de sanciones a algunos
ministros israelíes que han lanzado
mensajes de odio mensajes de odio
inaceptables contra los
palestinos el jefe de la diplomacia
europea se refería al ministro de
finanzas betzalel smotrich y al de
seguridad nacional yamar vv smotrich
había dicho por ejemplo que ía la pena o
estaba justificado producir el hambre
entre los palestinos para liberar a los
rehenes
esta esto que dijo borrel se inscribe en
la presión internacional esa presión
internacional que en general sirve más
para nosotros para que ocupemos
titulares que para generar cambios de
conductas pero también estoy leyendo en
los últimos tiempos opiniones en los
diarios liberales de Israel en hart
declaraciones de diferentes
personalidades de la cultura o
intelectuales de ex mandos militares o
de la incluso de la inteligencia israelí
hablando del peligro que toda esta
dinámica tiene para el propio Israel mi
pregunta para Joan eh qué repercusión
tienen en Israel todo este tipo de
manifestaciones Bueno hay que decir que
hace meses que vemos manifestaciones
masivas entre la Biblia en el resto de
Israel que exigen al gobierno israelí un
alto el fuego para rescatar a Los
Rehenes que siguen dentro de la franja
de gaza hay que recordar que en estas
horas son 108 reenes israelíes que
siguen ahí dentro de los cuales unos 36
se calcula que están Muertos pero hay
que remarcar que estas protestas ponen
el centro eh de su relevancia o de su
mensaje justamente en el rescate de
estos cautivos y no tanto en una paz
duradera es decir son protestas que no
piden explícitamente el fin de la guerra
y que eh en muchos casos Aparentemente
verían con buenos ojos que la guerra o
la ofensiva contra la franja de gaza se
retomara después de haber rescatado a
los cautivos pero eh La minoría es la
que pide una paz duradera desde ya mismo
de hecho eh el partido meret que es el
partido israelí que tradicionalmente ha
pedido un entendimiento con la población
Palestina en estos días no tiene
representación parlamentaria y otro
indicio de este rumbo ultraderechista de
la sociedad israelí es que los pocos
casos de jóvenes que han rechazado
formar parte del ejército israelí desde
octubre porque están abiertamente en
contra de la ofensiva en la franja de
gaza apenas reciben eh atención
mediática en este país con lo cual eh
vemos como incluso la gente que es
abiertamente contraria eh a esta guerra
en la franja de gaza es acusada según
ellos dicen de ser malos israelíes hay
parte de la sociedad israelí que eh los
acusa de estar más predispuestos a
entender el sufrimiento de la sociedad
Palestina que no el sufrimiento de la
sociedad israelí Así que en cualquier
caso vemos cómo continúan estas
protestas por un alto fuego aunque con
el interés puesto en el rescate de los
reenes suan cabas es desde beirut ahora
lo dije bien muchas gracias por
participar hasta la próxima",20240829
EYSbi2O8NYU,"🔴 DW Noticias 28 de agosto: Israel dice haber ""eliminado a nueve terroristas ""[Noticiero completo]",youtube_output\🔴 DW Noticias 28 de agosto Israel dice haber eliminado a nueve terroristas [Noticiero completo].jpg,,20240828
ksj8w0qLzOQ,"Israelí realizó lo que considera una ""operación antiterrorista"" en Cisjordania ocupada.",youtube_output\Israelí realizó lo que considera una operación antiterrorista en Cisjordania ocupada..jpg,,20240828
ew_G5zsCCrg,🔴 DW Noticias del 27 de agosto: Israel libera a un rehén de Hamás que estaba cautivo en Gaza,youtube_output\🔴 DW Noticias del 27 de agosto Israel libera a un rehén de Hamás que estaba cautivo en Gaza.jpg,,20240828
cnnIuqzLCFk,Ejército israelí rescata a otro rehén secuestrados por Hamás durante el ataque del 7 de octubre.,youtube_output\Ejército israelí rescata a otro rehén secuestrados por Hamás durante el ataque del 7 de octubre..jpg,"el ejército israelí Afirma haber
rescatado otro de los reenes
secuestrados en el ataque terrorista del
7 de octubre perpetrado por jamás según
las autoridades israelíes quait fajar
alcadi miembro de La minoría árabe
beduina de Israel fue liberado luego de
una compleja operación de rescate el
reel liberado fue trasladado a un
hospital y se ha informado que se
encuentra en buen estado de salud se
cree que jamás organización considerada
terrorista por varios países todavía
tiene cautivos a 110 secuestrados
el Primer Ministro israelí benyamina
etan yahu habló con alcadi poco después
de que llegara al hospital prometió
netan yaju que va a continuar
esforzándose por traer a casa Los
Rehenes restantes
escuchemos Bienvenido a casa faran
alcadi felicito al ejército israelí y al
Shin bet por otra exitosa operación de
rescate estamos trabajando
incansablemente para traer de vuelta a
todos nuestros Rehenes lo estamos
haciendo mediante dos vías principales
las negociaciones y las operaciones de
rescate ambos enfoques requieren nuestra
presencia militar sobre el terreno y una
presión militar continua sobre jamás
Seguiremos operando de esta manera hasta
que traigamos a todos ampliamos desde
beirut con el periodista Joan cabacés
experto en los conflictos de oriente
próximo Joan Saludos y queremos
preguntarte qué más se sabe de la
liberación de terren sabemos un beduino
ciudadano árabe
israelí Hola qué tal qué tal Sí pues
sabemos que en buena parte ha sido una
operación exitosa Por casualidad el caí
había huido de sus secuestradores y se
encontraba al parecer solo en una
habitación a 20 m por debajo de tierra
en uno de los túneles de la milicia
Palestina jamás en el sur de la franja
de gaza las tropas israelíes estaban
activas en esa zona y se encontraron con
el caí cito textualmente por sorpresa e
hay que mencionar la suerte que supone
que las tropas israelíes en ese contexto
no hayan abierto fuego contra el cautivo
es algo que ha ocurrido en el pasado
desde octubre que eh ha habido israelíes
que han escapado de su cautiverio y los
soldados israelíes los han confundido eh
con militantes palestinos y los han
matado Incluso en algunos casos el cadi
ha podido hablar esta noche con el
Primer Ministro Benjamin netanyahu en
una llamada telefónica y la prensa
israelí se hace eco de las palabras del
cadi que al parecer le ha recordado al
Primer Ministro que todavía hay gente
esperando dentro de la franja de gaza En
quea referencia a los cautivos que
esperan algún día ser
liberados y Cuál es la situación general
sobre los rehenes que aún siguen en
poder de jamás y Cuánto pesan también
realmente para la estrategia de guerra
del actual gobierno israelí en
gaza bueno la situación de los cautivos
dentro de la franja de gaza es incierta
Es difícil tener informaciones certeras
sobre ese asunto sin embargo en Israel
buena parte de la masa social eh cree
que el gobierno de netanyahu no tiene el
tema de los cautivos como un elemento
central de sus actuaciones en esta
guerra dentro de la franja de gaza de
hecho netanyahu y su ejecutivo eh
continúan diciendo que es la presión
militar la que va a conseguir poner en
libertad a los 108 cautivos que quedan
aún dentro de la franja de gaza ellos
insisten En que eh el ejército no
necesita un alto el fuego para poner en
libertad a estos eh cautivos sin embargo
hay que recordar que eh la realidad
igual sea algo contraria a esas
afirmaciones puesto que desde octubre
van prácticamente 11 meses eh de
operación militar dentro de la franja de
gaza Israel solo ha sido capaz de poner
en libertad a 10 cautivos con vida de
hecho como decíamos ha matado a más
cautivos de los que ha podido eh
rescatar con vida hay que decir también
que una sola semana de tregua en
noviembre Lo recordaréis eh supuso la
puesta en libertad de 105 reenes
israelíes las familias de los cautivos
esta noche eh celebran la libertad de El
cadi pero lo hacen mientras eh recuerdan
exigen de nuevo eh un alto el fuego que
ponga en libertad de forma segura y
rápida a sus seres queridos Ellos dicen
que la acción militar por sí sola no va
a poner en libertad a 108 cautivos a
partir del día de hoy de hecho para
aumentar la presión para continuar
presionando tanto el gobierno de
netanyahu como a jamas mañana van a
organizar un convoy desde tel avib hasta
el muro de la franja de gaz con el lema
este abandono tiene que llegar a su fin
Joan cabacés periodista Muchas gracias
desde beirut",20240827
